Breakdown,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Net income,12583000000.0,12583000000.0,5519000000.0,690000000.0,-862000000.0
Depreciation & amortisation,3747000000.0,3747000000.0,2911000000.0,2322000000.0,2154000000.0
Stock-based compensation,1560000000.0,1560000000.0,2121000000.0,1734000000.0,898000000.0
Change in working capital,-3908000000.0,-3908000000.0,518000000.0,184000000.0,-349000000.0
Accounts receivable,-1124000000.0,-1124000000.0,-130000000.0,-652000000.0,-367000000.0
Inventory,-6465000000.0,-6465000000.0,-1709000000.0,-422000000.0,-429000000.0
Other working capital,7552000000.0,7552000000.0,3483000000.0,2701000000.0,968000000.0
Other non-cash items,340000000.0,340000000.0,245000000.0,408000000.0,477000000.0
Net cash provided by operating activities,14724000000.0,14724000000.0,11497000000.0,5943000000.0,2405000000.0
Investments in property plant and equipment,-7172000000.0,-7172000000.0,-8014000000.0,-3242000000.0,-1437000000.0
Acquisitions net,0.0,0.0,0.0,-13000000.0,-45000000.0
Purchases of investments,-5835000000.0,-5835000000.0,-132000000.0,,
Sales/maturities of investments,22000000.0,22000000.0,,,
Other investing activities,76000000.0,76000000.0,6000000.0,123000000.0,46000000.0
Net cash used for investing activities,-11973000000.0,-11973000000.0,-7868000000.0,-3132000000.0,-1436000000.0
Debt repayment,-3866000000.0,-3866000000.0,-14615000000.0,-12201000000.0,-389000000.0
Common stock issued,0.0,0.0,0.0,12269000000.0,848000000.0
Other financing activities,-202000000.0,-202000000.0,-178000000.0,-225000000.0,222000000.0
Net cash used provided by (used for) financing activities,-3527000000.0,-3527000000.0,-5203000000.0,9973000000.0,1529000000.0
Net change in cash,-1220000000.0,-1220000000.0,-1757000000.0,13118000000.0,2506000000.0
Cash at beginning of period,18144000000.0,18144000000.0,19901000000.0,6783000000.0,4277000000.0
Cash at end of period,16924000000.0,16924000000.0,18144000000.0,19901000000.0,6783000000.0
Operating cash flow,14724000000.0,14724000000.0,11497000000.0,5943000000.0,2405000000.0
Capital expenditure,-7172000000.0,-7172000000.0,-8014000000.0,-3242000000.0,-1437000000.0
Free cash flow,7552000000.0,7552000000.0,3483000000.0,2701000000.0,968000000.0
